날짜,계절,휴일유무,출근길유무,날씨,온도,체감온도,습도,풍속,비회원대여,회원대여,합계대여,카테고리
2011-01-04 16:00:00,봄,예,아니오,맑음,12.30 도,14.39 도,49,16.9979,15,68,83,적음
2011-01-04 17:00:00,봄,예,아니오,맑음,11.48 도,13.63 도,48,15.0013,10,202,212,보통
2011-01-04 18:00:00,봄,예,아니오,맑음,10.66 도,12.88 도,48,12.998,3,179,182,보통
2011-01-04 19:00:00,봄,예,아니오,맑음,9.84 도,12.88 도,48,7.0015,2,110,112,적음
2011-01-04 20:00:00,봄,예,아니오,맑음,9.84 도,12.88 도,48,7.0015,1,53,54,적음
2011-01-04 21:00:00,봄,예,아니오,맑음,9.02 도,13.63 도,64,0.0,0,48,48,매우적음
2011-01-04 22:00:00,봄,예,아니오,맑음,9.02 도,12.88 도,64,6.0032,1,34,35,매우적음
2011-01-04 23:00:00,봄,예,아니오,맑음,8.20 도,11.37 도,69,6.0032,2,9,11,매우적음
2011-01-05 00:00:00,봄,예,아니오,맑음,8.20 도,12.88 도,64,0.0,0,6,6,매우적음
2011-01-05 01:00:00,봄,예,아니오,맑음,6.56 도,9.85 도,74,6.0032,0,6,6,매우적음
2011-01-05 02:00:00,봄,예,아니오,맑음,6.56 도,9.85 도,74,6.0032,0,2,2,매우적음
2011-01-05 04:00:00,봄,예,아니오,맑음,9.84 도,11.37 도,48,15.0013,0,2,2,매우적음
2011-01-05 05:00:00,봄,예,아니오,맑음,9.02 도,11.37 도,47,11.0014,0,3,3,매우적음
2011-01-05 06:00:00,봄,예,아니오,맑음,8.20 도,9.85 도,47,15.0013,0,33,33,매우적음
2011-01-05 07:00:00,봄,예,아니오,맑음,7.38 도,9.09 도,43,12.998,1,87,88,적음
2011-01-05 08:00:00,봄,예,아니오,맑음,8.20 도,9.09 도,40,19.9995,3,192,195,보통
2011-01-05 09:00:00,봄,예,아니오,맑음,9.02 도,9.85 도,37,22.0028,6,109,115,적음
2011-01-05 10:00:00,봄,예,아니오,맑음,9.02 도,9.85 도,37,22.0028,4,53,57,적음
2011-01-05 11:00:00,봄,예,아니오,맑음,10.66 도,11.37 도,33,22.0028,12,34,46,매우적음
2011-01-05 12:00:00,봄,예,아니오,맑음,10.66 도,11.37 도,33,22.0028,5,74,79,적음
2011-01-05 13:00:00,봄,예,아니오,맑음,11.48 도,12.88 도,30,19.9995,6,65,71,적음
2011-01-05 14:00:00,봄,예,아니오,맑음,12.30 도,14.39 도,28,12.998,10,52,62,적음
2011-01-05 15:00:00,봄,예,아니오,맑음,12.30 도,14.39 도,28,12.998,7,55,62,적음
2011-01-05 16:00:00,봄,예,아니오,맑음,12.30 도,15.91 도,28,6.0032,4,85,89,적음
2011-01-05 17:00:00,봄,예,아니오,맑음,9.84 도,11.37 도,38,12.998,4,186,190,보통
2011-01-05 18:00:00,봄,예,아니오,맑음,9.84 도,12.12 도,38,8.9981,3,166,169,보통
2011-01-05 19:00:00,봄,예,아니오,맑음,9.84 도,12.88 도,38,7.0015,5,127,132,적음
2011-01-05 20:00:00,봄,예,아니오,맑음,9.02 도,11.37 도,47,11.0014,7,82,89,적음
2011-01-05 21:00:00,봄,예,아니오,맑음,8.20 도,9.85 도,51,12.998,3,40,43,매우적음
2011-01-05 22:00:00,봄,예,아니오,맑음,7.38 도,9.85 도,55,8.9981,1,41,42,매우적음
2011-01-05 23:00:00,봄,예,아니오,맑음,8.20 도,12.88 도,47,0.0,1,18,19,매우적음
2011-01-06 00:00:00,봄,예,아니오,맑음,7.38 도,12.12 도,55,0.0,0,11,11,매우적음
2011-01-06 01:00:00,봄,예,아니오,맑음,6.56 도,11.37 도,64,0.0,0,4,4,매우적음
2011-01-06 02:00:00,봄,예,아니오,맑음,6.56 도,11.37 도,64,0.0,0,2,2,매우적음
2011-01-06 04:00:00,봄,예,아니오,흐림,6.56 도,9.85 도,64,6.0032,0,1,1,매우적음
2011-01-06 05:00:00,봄,예,아니오,흐림,5.74 도,9.09 도,69,6.0032,0,4,4,매우적음
2011-01-06 06:00:00,봄,예,아니오,흐림,5.74 도,8.34 도,63,7.0015,0,36,36,매우적음
2011-01-06 07:00:00,봄,예,아니오,흐림,6.56 도,11.37 도,59,0.0,0,95,95,적음
2011-01-06 08:00:00,봄,예,아니오,맑음,6.56 도,11.37 도,59,0.0,3,216,219,보통
2011-01-06 09:00:00,봄,예,아니오,흐림,7.38 도,12.12 도,51,0.0,6,116,122,적음
2011-01-06 10:00:00,봄,예,아니오,맑음,8.20 도,12.88 도,47,0.0,3,42,45,매우적음
2011-01-06 11:00:00,봄,예,아니오,맑음,9.02 도,12.88 도,44,6.0032,2,57,59,적음
2011-01-06 12:00:00,봄,예,아니오,맑음,10.66 도,14.39 도,35,0.0,6,78,84,적음
2011-01-06 13:00:00,봄,예,아니오,맑음,10.66 도,13.63 도,35,7.0015,12,55,67,적음
2011-01-06 14:00:00,봄,예,아니오,맑음,11.48 도,13.63 도,36,11.0014,11,59,70,적음
2011-01-06 15:00:00,봄,예,아니오,맑음,11.48 도,13.63 도,36,0.0,8,54,62,적음
2011-01-06 16:00:00,봄,예,아니오,맑음,10.66 도,12.88 도,38,11.0014,12,74,86,적음
2011-01-06 17:00:00,봄,예,아니오,맑음,9.02 도,11.37 도,51,11.0014,9,163,172,보통
2011-01-06 18:00:00,봄,예,아니오,맑음,9.02 도,11.37 도,51,8.9981,5,158,163,보통
2011-01-06 19:00:00,봄,예,아니오,맑음,9.02 도,12.88 도,55,6.0032,3,109,112,적음
2011-01-06 20:00:00,봄,예,아니오,맑음,8.20 도,10.61 도,51,11.0014,3,66,69,적음
2011-01-06 21:00:00,봄,예,아니오,흐림,9.02 도,10.61 도,55,15.0013,0,48,48,매우적음
2011-01-06 22:00:00,봄,예,아니오,흐림,9.02 도,10.61 도,51,19.0012,1,51,52,적음
2011-01-06 23:00:00,봄,예,아니오,흐림,8.20 도,9.85 도,59,12.998,4,19,23,매우적음
2011-01-07 00:00:00,봄,예,아니오,흐림,8.20 도,9.85 도,64,12.998,4,13,17,매우적음
2011-01-07 01:00:00,봄,예,아니오,흐림,8.20 도,9.85 도,69,15.0013,2,5,7,매우적음
2011-01-07 02:00:00,봄,예,아니오,흐림,8.20 도,9.85 도,69,15.0013,0,1,1,매우적음
2011-01-07 04:00:00,봄,예,아니오,흐림,8.20 도,10.61 도,69,8.9981,0,1,1,매우적음
2011-01-07 05:00:00,봄,예,아니오,비,9.02 도,13.63 도,55,0.0,0,5,5,매우적음
2011-01-07 06:00:00,봄,예,아니오,흐림,8.20 도,12.88 도,69,0.0,8,26,34,매우적음
2011-01-07 07:00:00,봄,예,아니오,맑음,8.20 도,10.61 도,69,8.9981,8,76,84,적음
2011-01-07 08:00:00,봄,예,아니오,맑음,8.20 도,9.85 도,51,16.9979,20,190,210,보통
2011-01-07 09:00:00,봄,예,아니오,맑음,8.20 도,9.09 도,47,19.9995,9,125,134,적음
2011-01-07 10:00:00,봄,예,아니오,맑음,9.02 도,9.85 도,37,22.0028,16,47,63,적음
2011-01-07 11:00:00,봄,예,아니오,흐림,8.20 도,9.85 도,40,15.0013,19,48,67,적음
2011-01-07 12:00:00,봄,예,아니오,흐림,8.20 도,9.85 도,37,16.9979,9,50,59,적음
2011-01-07 13:00:00,봄,예,아니오,흐림,8.20 도,9.09 도,37,19.0012,9,64,73,적음
2011-01-07 14:00:00,봄,예,아니오,흐림,8.20 도,9.85 도,40,16.9979,7,43,50,매우적음
2011-01-07 15:00:00,봄,예,아니오,흐림,8.20 도,10.61 도,37,11.0014,9,63,72,적음
2011-01-07 16:00:00,봄,예,아니오,흐림,8.20 도,10.61 도,37,11.0014,5,82,87,적음
2011-01-07 17:00:00,봄,예,아니오,흐림,8.20 도,12.88 도,37,0.0,9,178,187,보통
2011-01-07 18:00:00,봄,예,아니오,맑음,8.20 도,11.37 도,40,6.0032,7,116,123,적음
2011-01-07 19:00:00,봄,예,아니오,맑음,6.56 도,9.85 도,55,6.0032,3,92,95,적음
2011-01-07 20:00:00,봄,예,아니오,맑음,7.38 도,10.61 도,47,7.0015,1,50,51,적음
2011-01-07 21:00:00,봄,예,아니오,맑음,7.38 도,9.85 도,47,8.9981,0,39,39,매우적음
2011-01-07 22:00:00,봄,예,아니오,흐림,7.38 도,9.85 도,43,11.0014,2,34,36,매우적음
2011-01-07 23:00:00,봄,예,아니오,흐림,7.38 도,9.85 도,51,11.0014,1,14,15,매우적음
2011-01-08 00:00:00,봄,예,예,흐림,7.38 도,9.85 도,51,11.0014,1,24,25,매우적음
2011-01-08 01:00:00,봄,예,예,흐림,7.38 도,10.61 도,55,6.0032,1,15,16,매우적음
2011-01-08 02:00:00,봄,예,예,흐림,7.38 도,12.12 도,55,0.0,3,13,16,매우적음
2011-01-08 03:00:00,봄,예,예,비,7.38 도,9.85 도,55,11.0014,0,7,7,매우적음
2011-01-08 04:00:00,봄,예,예,비,7.38 도,9.85 도,55,11.0014,0,1,1,매우적음
2011-01-08 05:00:00,봄,예,예,흐림,6.56 도,8.34 도,74,11.0014,0,5,5,매우적음
2011-01-08 06:00:00,봄,예,예,흐림,6.56 도,8.34 도,74,11.0014,0,2,2,매우적음
2011-01-08 07:00:00,봄,예,예,흐림,6.56 도,9.09 도,74,7.0015,1,8,9,매우적음
2011-01-08 08:00:00,봄,예,예,비,6.56 도,9.09 도,93,7.0015,0,15,15,매우적음
2011-01-08 09:00:00,봄,예,예,비,6.56 도,9.09 도,93,7.0015,0,20,20,매우적음
2011-01-08 10:00:00,봄,예,예,흐림,7.38 도,9.85 도,80,11.0014,5,56,61,적음
2011-01-08 11:00:00,봄,예,예,흐림,8.20 도,9.09 도,69,26.0027,2,60,62,적음
2011-01-08 12:00:00,봄,예,예,흐림,8.20 도,9.09 도,59,23.9994,8,90,98,적음
2011-01-08 13:00:00,봄,예,예,맑음,8.20 도,9.09 도,44,22.0028,7,95,102,적음
2011-01-08 14:00:00,봄,예,예,맑음,8.20 도,8.34 도,32,32.9975,12,83,95,적음
2011-01-08 15:00:00,봄,예,예,맑음,8.20 도,8.34 도,32,30.0026,5,69,74,적음
2011-01-08 16:00:00,봄,예,예,맑음,7.38 도,6.82 도,29,30.0026,8,68,76,적음
2011-01-08 17:00:00,봄,예,예,맑음,6.56 도,6.06 도,37,36.9974,5,64,69,적음
2011-01-08 18:00:00,봄,예,예,맑음,5.74 도,6.06 도,39,19.9995,3,52,55,적음
2011-01-08 19:00:00,봄,예,예,맑음,5.74 도,6.06 도,36,16.9979,4,26,30,매우적음
2011-01-08 20:00:00,봄,예,예,맑음,4.92 도,6.06 도,36,16.9979,0,28,28,매우적음
2011-01-08 21:00:00,봄,예,예,맑음,4.92 도,5.30 도,39,23.9994,2,35,37,매우적음
2011-01-08 22:00:00,봄,예,예,맑음,4.92 도,5.30 도,36,26.0027,1,33,34,매우적음
2011-01-08 23:00:00,봄,예,예,맑음,4.10 도,3.03 도,39,30.0026,0,22,22,매우적음
2011-01-09 00:00:00,봄,예,예,맑음,4.10 도,3.79 도,42,26.0027,1,24,25,매우적음
2011-01-09 01:00:00,봄,예,예,맑음,4.10 도,3.03 도,42,31.0009,0,12,12,매우적음
2011-01-09 02:00:00,봄,예,예,맑음,4.10 도,3.03 도,46,31.0009,0,11,11,매우적음
2011-01-09 03:00:00,봄,예,예,맑음,4.10 도,3.79 도,46,27.9993,0,4,4,매우적음
2011-01-09 04:00:00,봄,예,예,맑음,3.28 도,4.54 도,53,12.998,0,1,1,매우적음
2011-01-09 05:00:00,봄,예,예,맑음,3.28 도,4.54 도,53,12.998,0,1,1,매우적음
2011-01-09 06:00:00,봄,예,예,맑음,4.10 도,4.54 도,49,19.0012,0,1,1,매우적음
2011-01-09 07:00:00,봄,예,예,맑음,3.28 도,4.54 도,53,12.998,1,5,6,매우적음
2011-01-09 08:00:00,봄,예,예,맑음,4.10 도,4.54 도,49,19.0012,0,10,10,매우적음
2011-01-09 09:00:00,봄,예,예,맑음,4.92 도,3.79 도,46,35.0008,0,19,19,매우적음
2011-01-09 10:00:00,봄,예,예,맑음,5.74 도,5.30 도,43,26.0027,0,49,49,매우적음
2011-01-09 11:00:00,봄,예,예,맑음,6.56 도,6.06 도,40,35.0008,2,47,49,매우적음
2011-01-09 12:00:00,봄,예,예,맑음,7.38 도,6.82 도,37,30.0026,4,79,83,적음
2011-01-09 13:00:00,봄,예,예,맑음,8.20 도,8.34 도,34,30.0026,6,69,75,적음
2011-01-09 14:00:00,봄,예,예,맑음,9.02 도,9.09 도,32,31.0009,8,64,72,적음
2011-01-09 15:00:00,봄,예,예,맑음,9.02 도,9.85 도,35,23.9994,5,77,82,적음
2011-01-09 16:00:00,봄,예,예,맑음,8.20 도,8.34 도,34,30.0026,13,79,92,적음
2011-01-09 17:00:00,봄,예,예,맑음,7.38 도,7.58 도,37,26.0027,3,59,62,적음
2011-01-09 18:00:00,봄,예,예,맑음,6.56 도,6.82 도,40,22.0028,4,44,48,매우적음
2011-01-09 19:00:00,봄,예,예,맑음,6.56 도,6.82 도,43,22.0028,1,40,41,매우적음
2011-01-09 20:00:00,봄,예,예,맑음,5.74 도,6.06 도,46,16.9979,0,38,38,매우적음
2011-01-09 21:00:00,봄,예,예,맑음,5.74 도,5.30 도,46,27.9993,1,19,20,매우적음
2011-01-09 22:00:00,봄,예,예,맑음,5.74 도,6.06 도,46,19.9995,5,10,15,매우적음
2011-01-09 23:00:00,봄,예,예,맑음,4.92 도,6.82 도,50,12.998,0,6,6,매우적음
2011-01-10 00:00:00,봄,예,아니오,맑음,4.92 도,6.06 도,50,19.0012,2,3,5,매우적음
2011-01-10 01:00:00,봄,예,아니오,맑음,4.92 도,6.06 도,50,19.0012,1,0,1,매우적음
2011-01-10 02:00:00,봄,예,아니오,맑음,4.92 도,6.06 도,50,15.0013,0,3,3,매우적음
2011-01-10 03:00:00,봄,예,아니오,맑음,4.92 도,6.06 도,50,15.0013,0,1,1,매우적음
2011-01-10 04:00:00,봄,예,아니오,맑음,4.10 도,6.06 도,54,8.9981,1,2,3,매우적음
2011-01-10 05:00:00,봄,예,아니오,맑음,4.10 도,5.30 도,54,16.9979,0,3,3,매우적음
2011-01-10 06:00:00,봄,예,아니오,맑음,4.92 도,6.06 도,50,19.0012,0,31,31,매우적음
2011-01-10 07:00:00,봄,예,아니오,맑음,4.92 도,6.06 도,50,15.0013,2,75,77,적음
2011-01-10 08:00:00,봄,예,아니오,흐림,4.92 도,6.06 도,50,19.0012,4,184,188,보통
2011-01-10 09:00:00,봄,예,아니오,흐림,5.74 도,6.06 도,50,16.9979,2,92,94,적음
2011-01-10 10:00:00,봄,예,아니오,흐림,5.74 도,6.06 도,50,19.9995,0,31,31,매우적음
2011-01-10 11:00:00,봄,예,아니오,흐림,6.56 도,6.82 도,47,19.0012,2,28,30,매우적음
2011-01-10 12:00:00,봄,예,아니오,흐림,8.20 도,9.09 도,40,19.0012,5,47,52,적음
2011-01-10 13:00:00,봄,예,아니오,흐림,8.20 도,9.09 도,40,19.0012,4,50,54,적음
2011-01-10 14:00:00,봄,예,아니오,흐림,8.20 도,9.85 도,40,15.0013,0,47,47,매우적음
2011-01-10 15:00:00,봄,예,아니오,흐림,8.20 도,9.85 도,40,15.0013,2,43,45,매우적음
2011-01-10 16:00:00,봄,예,아니오,맑음,8.20 도,10.61 도,40,8.9981,4,70,74,적음
2011-01-10 17:00:00,봄,예,아니오,맑음,8.20 도,11.37 도,40,7.0015,4,174,178,보통
2011-01-10 18:00:00,봄,예,아니오,맑음,8.20 도,9.85 도,40,15.0013,1,154,155,보통
2011-01-10 19:00:00,봄,예,아니오,맑음,6.56 도,8.34 도,47,11.0014,3,92,95,적음
2011-01-10 20:00:00,봄,예,아니오,맑음,6.56 도,8.34 도,50,11.0014,1,73,74,적음
2011-01-10 21:00:00,봄,예,아니오,맑음,5.74 도,6.82 도,59,12.998,1,37,38,매우적음
2011-01-10 22:00:00,봄,예,아니오,맑음,5.74 도,7.58 도,59,11.0014,2,22,24,매우적음
2011-01-10 23:00:00,봄,예,아니오,맑음,5.74 도,7.58 도,59,11.0014,0,18,18,매우적음
2011-01-11 00:00:00,봄,예,아니오,맑음,5.74 도,8.34 도,59,7.0015,2,10,12,매우적음
2011-01-11 01:00:00,봄,예,아니오,맑음,5.74 도,7.58 도,59,11.0014,0,3,3,매우적음
2011-01-11 02:00:00,봄,예,아니오,흐림,6.56 도,7.58 도,55,12.998,0,3,3,매우적음
2011-01-11 05:00:00,봄,예,아니오,흐림,6.56 도,9.09 도,55,8.9981,0,6,6,매우적음
2011-01-11 06:00:00,봄,예,아니오,흐림,6.56 도,9.09 도,55,8.9981,0,27,27,매우적음
2011-01-11 07:00:00,봄,예,아니오,흐림,6.56 도,11.37 도,55,0.0,2,97,99,적음
2011-01-11 08:00:00,봄,예,아니오,흐림,7.38 도,10.61 도,51,6.0032,3,214,217,보통
2011-01-11 09:00:00,봄,예,아니오,흐림,7.38 도,9.85 도,51,11.0014,3,127,130,적음
2011-01-11 10:00:00,봄,예,아니오,흐림,8.20 도,10.61 도,51,11.0014,3,51,54,적음
2011-01-11 11:00:00,봄,예,아니오,흐림,8.20 도,10.61 도,47,8.9981,4,31,35,매우적음
2011-01-11 12:00:00,봄,예,아니오,흐림,8.20 도,11.37 도,51,7.0015,2,55,57,적음
2011-01-11 13:00:00,봄,예,아니오,흐림,8.20 도,11.37 도,59,6.0032,6,46,52,적음
2011-01-11 14:00:00,봄,예,아니오,흐림,8.20 도,11.37 도,59,6.0032,3,60,63,적음
2011-01-11 15:00:00,봄,예,아니오,흐림,6.56 도,9.85 도,80,6.0032,2,45,47,매우적음
2011-01-11 16:00:00,봄,예,아니오,흐림,6.56 도,7.58 도,86,15.0013,4,72,76,적음
2011-01-11 17:00:00,봄,예,아니오,흐림,6.56 도,7.58 도,86,15.0013,6,130,136,적음
2011-01-11 18:00:00,봄,예,아니오,비,6.56 도,9.09 도,93,7.0015,1,94,95,적음
2011-01-11 19:00:00,봄,예,아니오,비,6.56 도,11.37 도,93,0.0,0,51,51,적음
2011-01-11 20:00:00,봄,예,아니오,비,6.56 도,7.58 도,93,12.998,0,32,32,매우적음
2011-01-11 21:00:00,봄,예,아니오,비,6.56 도,9.85 도,86,6.0032,0,20,20,매우적음
2011-01-11 22:00:00,봄,예,아니오,비,6.56 도,9.09 도,93,7.0015,1,28,29,매우적음
2011-01-11 23:00:00,봄,예,아니오,비,6.56 도,9.85 도,93,6.0032,1,18,19,매우적음
2011-01-12 00:00:00,봄,예,아니오,흐림,6.56 도,9.85 도,86,6.0032,0,7,7,매우적음
2011-01-12 01:00:00,봄,예,아니오,흐림,6.56 도,9.09 도,86,7.0015,0,6,6,매우적음
